Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
136,0,291.179,659.099,1230.8,178.9,708.238,1218.6,214.84,620.032,1192.52,,,,,,,230.545,639.507,1095.58
137,0,291.173,659.19,1230.77,178.898,708.304,1218.58,214.984,620.065,1192.62,,,,,,,230.486,639.479,1095.65
138,0,291.135,659.258,1230.75,178.828,708.202,1218.51,215.009,620.145,1192.58,,,,,,,230.587,639.506,1095.58
139,0,291.103,659.307,1230.8,178.745,708.209,1218.42,214.994,620.136,1192.63,,,,,,,230.794,639.735,1095.45
140,0,291.009,659.337,1230.79,178.673,708.324,1218.45,214.912,620.132,1192.61,,,,,,,230.647,639.624,1095.49
141,0,290.912,659.378,1230.81,178.624,708.362,1218.38,214.794,620.113,1192.64,,,,,,,230.552,639.623,1095.47
142,0,290.939,659.175,1230.79,178.57,708.383,1218.34,214.609,620.104,1192.55,,,,,,,230.461,639.663,1095.32
143,0,290.853,659.086,1230.82,178.399,708.263,1218.31,214.445,620.105,1192.55,,,,,,,230.496,639.719,1095.22
144,0,290.695,659.16,1230.73,178.369,708.306,1218.25,214.358,620.134,1192.53,,,,,,,230.738,640.127,1095.01
145,0,290.593,659.126,1230.7,178.246,708.265,1218.23,214.319,620.123,1192.49,,,,,,,230.841,640.298,1094.94
146,0,290.414,659.235,1230.62,178.148,708.327,1218.29,214.229,620.116,1192.51,,,,,,,230.649,639.976,1095.06
147,0,290.289,659.189,1230.64,178.083,708.31,1218.27,214.146,620.13,1192.53,,,,,,,230.705,640.072,1095.02
148,0,290.164,659.2,1230.67,177.987,708.323,1218.29,214.082,620.115,1192.59,,,,,,,230.702,640.062,1095.05
149,0,290.095,659.158,1230.68,177.924,708.297,1218.31,214.008,620.028,1192.62,,,,,,,230.701,640.063,1095.05
150,0,290.044,659.005,1230.78,177.84,708.295,1218.34,213.926,619.996,1192.64,,,,,,,230.762,640.167,1094.98
151,0,289.889,659.063,1230.75,177.796,708.226,1218.37,213.886,619.943,1192.7,,,,,,,230.893,640.383,1094.86
152,0,289.846,659.004,1230.75,177.725,708.188,1218.42,213.86,619.898,1192.72,,,,,,,230.79,640.214,1094.94
153,0,289.933,658.866,1230.86,177.735,708.112,1218.45,213.818,619.675,1192.84,,,,,,,230.782,640.198,1094.86
154,0,289.877,658.827,1230.85,177.731,708.062,1218.43,213.815,619.641,1192.85,,,,,,,230.737,640.124,1094.88
155,0,289.935,658.749,1230.87,177.805,708.024,1218.41,213.803,619.54,1192.85,,,,,,,230.5,639.726,1095.03
156,0,290.021,658.651,1230.9,177.865,707.982,1218.41,213.82,619.473,1192.85,,,,,,,230.45,639.645,1095.06
157,0,289.979,658.665,1230.86,177.88,707.926,1218.37,213.829,619.384,1192.82,,,,,,,230.148,639.137,1095.26
158,0,290.016,658.583,1230.87,177.952,707.859,1218.33,213.907,619.24,1192.87,,,,,,,230.069,639,1095.28
159,0,290.06,658.461,1230.89,177.956,707.787,1218.29,213.905,619.2,1192.75,,,,,,,230.006,638.921,1095.14
160,0,290.112,658.342,1230.9,177.926,707.718,1218.19,213.822,619.088,1192.68,,,,,,,230.023,638.957,1094.97
161,0,289.99,658.329,1230.81,177.874,707.645,1218.13,213.751,618.954,1192.63,,,,,,,229.921,638.78,1094.98
162,0,289.886,658.286,1230.74,177.86,707.565,1218.05,213.677,618.832,1192.55,,,,,,,230.441,639.518,1094.55
163,0,289.829,658.127,1230.73,177.662,707.473,1218.04,213.601,618.753,1192.46,,,,,,,230.443,639.529,1094.43
164,0,289.675,658.111,1230.61,177.688,707.455,1217.92,213.551,618.712,1192.38,,,,,,,230.437,639.518,1094.3
165,0,289.564,658.156,1230.51,177.597,707.413,1217.84,213.515,618.703,1192.31,,,,,,,230.469,639.591,1094.29
166,0,289.472,658.082,1230.5,177.489,707.415,1217.87,213.388,618.589,1192.32,,,,,,,230.518,639.701,1094.15
167,0,289.45,658.081,1230.54,177.468,707.358,1217.78,213.347,618.545,1192.3,,,,,,,230.5,639.659,1094.13
168,0,289.374,658.108,1230.48,177.444,707.394,1217.81,213.317,618.554,1192.28,,,,,,,230.497,639.651,1094.16
169,0,289.36,658.071,1230.49,177.442,707.365,1217.78,213.318,618.55,1192.29,,,,,,,230.521,639.697,1094.13
170,0,289.413,658.086,1230.5,177.493,707.434,1217.75,213.385,618.657,1192.25,,,,,,,230.581,639.846,1094.16
171,0,289.495,658.106,1230.56,177.459,707.462,1217.84,213.371,618.674,1192.29,,,,,,,230.565,639.801,1094.13
172,0,289.437,658.255,1230.53,177.479,707.526,1217.91,213.438,618.768,1192.3,,,,,,,230.556,639.778,1094.22
173,0,289.494,658.318,1230.53,177.58,707.545,1217.85,213.44,618.819,1192.31,,,,,,,230.571,639.818,1094.4
174,0,289.59,658.294,1230.58,177.589,707.559,1217.88,213.496,618.801,1192.43,,,,,,,230.545,639.74,1094.44
175,0,289.711,658.366,1230.63,177.663,707.599,1217.96,213.577,618.813,1192.47,,,,,,,230.52,639.674,1094.6
176,0,289.801,658.436,1230.65,177.793,707.638,1217.92,213.697,618.846,1192.49,,,,,,,230.491,639.585,1094.63
177,0,289.94,658.381,1230.73,177.831,707.643,1217.95,213.777,618.91,1192.54,,,,,,,230.442,639.45,1094.78
178,0,289.966,658.487,1230.7,177.872,707.636,1217.99,213.762,618.905,1192.59,,,,,,,230.439,639.436,1094.88
179,0,290.064,658.406,1230.76,177.891,707.655,1218.03,213.849,618.968,1192.59,,,,,,,230.439,639.431,1094.96
180,0,290.174,658.38,1230.79,177.941,707.644,1218.04,213.871,618.968,1192.61,,,,,,,230.432,639.418,1094.91
181,0,290.196,658.341,1230.77,177.96,707.67,1218.03,213.953,619.011,1192.57,,,,,,,229.892,638.717,1095.03
182,0,290.173,658.434,1230.74,178.029,707.684,1218.05,213.97,619.023,1192.6,,,,,,,230.345,639.276,1094.89
183,0,290.211,658.453,1230.73,178.065,707.671,1218.05,213.991,619.028,1192.61,,,,,,,230.348,639.284,1094.93
184,0,290.355,658.332,1230.79,178.115,707.683,1218.08,214.014,619.029,1192.64,,,,,,,230.349,639.279,1095
185,0,290.457,658.245,1230.79,178.176,707.632,1218.1,214.069,618.986,1192.67,,,,,,,229.892,638.699,1095.12
186,0,290.156,658.631,1230.6,178.235,707.595,1218.11,214.083,618.963,1192.68,,,,,,,229.874,638.684,1095.18
187,0,290.303,658.526,1230.69,178.239,707.538,1218.11,214.11,618.943,1192.67,,,,,,,230.179,638.97,1094.98
188,0,290.342,658.451,1230.74,178.32,707.548,1218.1,214.2,618.879,1192.68,,,,,,,230.502,639.415,1094.88
189,0,290.363,658.438,1230.71,178.254,707.478,1218.17,214.166,618.85,1192.68,,,,,,,230.589,639.349,1094.69
190,0,290.404,658.359,1230.74,178.298,707.471,1218.18,214.189,618.839,1192.68,,,,,,,230.504,639.337,1094.87
191,0,290.441,658.327,1230.79,178.318,707.447,1218.17,214.209,618.806,1192.7,,,,,,,230.71,639.461,1094.55
192,0,290.539,658.243,1230.8,178.35,707.456,1218.16,214.25,618.817,1192.69,,,,,,,230.525,639.289,1094.72
193,0,290.59,658.243,1230.81,178.43,707.439,1218.14,214.339,618.812,1192.69,,,,,,,230.725,639.503,1094.9
194,0,290.596,658.249,1230.79,178.521,707.425,1218.2,214.349,618.806,1192.68,,,,,,,230.878,639.721,1094.75
195,0,290.596,658.313,1230.78,178.543,707.4,1218.21,214.371,618.799,1192.71,,,,,,,231.011,639.838,1094.67
196,0,290.677,658.257,1230.8,178.606,707.46,1218.2,214.457,618.834,1192.72,,,,,,,231.183,640.005,1094.53
197,0,290.801,658.149,1230.86,178.651,707.479,1218.2,214.452,618.824,1192.76,,,,,,,231.014,639.85,1094.67
198,0,290.713,658.23,1230.8,178.663,707.443,1218.2,214.431,618.816,1192.72,,,,,,,230.915,639.762,1094.77
199,0,290.791,658.191,1230.78,178.749,707.447,1218.17,214.562,618.809,1192.73,,,,,,,231.191,640.027,1094.6
200,0,290.779,658.144,1230.68,178.718,707.396,1218.22,214.571,618.766,1192.7,,,,,,,231.103,639.964,1094.6
201,0,290.798,658.1,1230.66,178.74,707.355,1218.18,214.568,618.723,1192.64,,,,,,,231.307,640.028,1094.45
202,0,290.775,658.079,1230.61,178.75,707.281,1218.14,214.578,618.68,1192.63,,,,,,,231.153,639.805,1094.46
203,0,290.745,658.049,1230.55,178.738,707.218,1218.08,214.596,618.681,1192.6,,,,,,,231.138,639.692,1094.47
