Trajectories
50
,,Facetracking Jonas:LEyebrow1,,,Facetracking Jonas:REyebrow1,,,Facetracking Jonas:Nosetip1,,,Facetracking Jonas:LMoothside1,,,Facetracking Jonas:RMoothside1,,,Facetracking Jonas:Chin1,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
170,0,293.743,-425.61,1241.86,384.875,-355.048,1252,301.58,-341.861,1205.09,,,,,,,317.549,-357.584,1130.5
171,0,293.706,-425.68,1241.95,384.816,-355.106,1252.01,301.55,-341.889,1205.09,,,,,,,317.321,-357.556,1130.69
172,0,293.487,-425.559,1241.88,384.81,-355.081,1252.07,301.401,-342.048,1205.18,,,,,,,317.413,-357.572,1130.53
173,0,293.674,-425.724,1241.84,384.847,-355.081,1252.08,301.454,-341.925,1205.1,,,,,,,317.427,-357.551,1130.55
174,0,293.445,-425.643,1241.88,384.812,-355.082,1252.04,301.395,-341.909,1205.12,,,,,,,317.199,-357.48,1130.68
175,0,293.67,-425.607,1241.79,384.815,-355.086,1252.05,301.385,-341.89,1205.14,,,,,,,317.103,-357.395,1130.67
176,0,293.614,-425.611,1241.76,384.732,-355.148,1251.98,301.354,-341.875,1205.09,,,,,,,317.137,-357.374,1130.66
177,0,293.494,-425.733,1241.88,384.721,-355.123,1251.95,301.374,-341.805,1205.03,,,,,,,317.187,-357.367,1130.62
178,0,293.711,-425.486,1241.55,384.768,-355.092,1251.88,301.336,-341.865,1204.99,,,,,,,317.233,-357.381,1130.59
179,0,293.733,-425.466,1241.52,384.78,-355.018,1251.86,301.344,-341.763,1204.94,,,,,,,317.355,-357.316,1130.45
180,0,293.753,-425.449,1241.51,384.874,-354.932,1251.85,301.459,-341.763,1204.91,,,,,,,317.421,-357.274,1130.47
181,0,293.83,-425.429,1241.61,384.972,-354.855,1251.83,301.556,-341.668,1204.96,,,,,,,317.495,-357.13,1130.39
182,0,293.934,-425.285,1241.55,385.173,-354.653,1251.83,301.585,-341.417,1205.11,,,,,,,317.648,-356.979,1130.37
183,0,294.345,-424.931,1241.43,385.425,-354.447,1251.81,301.909,-341.233,1205.1,,,,,,,317.951,-356.821,1130.49
184,0,294.77,-424.59,1241.47,385.679,-354.251,1251.74,302.277,-341.012,1205.05,,,,,,,318.263,-356.653,1130.43
185,0,295.086,-424.267,1241.48,385.954,-354.083,1251.69,302.599,-340.85,1204.98,,,,,,,318.405,-356.39,1130.53
186,0,295.302,-424.029,1241.58,386.243,-353.96,1251.7,302.857,-340.513,1204.97,,,,,,,318.668,-356.174,1130.58
187,0,295.366,-423.846,1241.65,386.658,-353.71,1251.71,303.098,-340.315,1204.89,,,,,,,318.723,-355.942,1130.55
188,0,295.395,-423.698,1241.69,386.722,-353.552,1251.57,303.305,-340.035,1204.83,,,,,,,318.789,-355.768,1130.45
189,0,295.482,-423.418,1241.64,386.852,-353.352,1251.5,303.426,-339.684,1204.74,,,,,,,318.953,-355.586,1130.3
